"Permit #","Issued Date","Permit Type","Permit Sub Type","Address","Description","Contractor Name","RECORDID"
"BLDG20-0023","01/06/2020","RESIDENTIAL COUNTER","SEWER REPAIR","7961 BRADBURN BLVD","10' Long sewer service repair ...","THE ELITE PIPE MD","ECON:200102033325659"
"BLDG20-0056","01/06/2020","RESIDENTIAL BUILDING","MECHANICAL","4725 W 69TH AVE","Install a gas line for owner's...","The Gas Connection","ECON:200106084657967"
"BLDG20-0057","01/06/2020","RESIDENTIAL BUILDING","ELECTRICAL","7696 BRADBURN BLVD #4","service change for 4 units/ 1 ...","DIVINE LIGHTING & ELECTRICAL L...","ECON:200106091503154"
"BLDG20-0061","01/06/2020","RESIDENTIAL COUNTER","REROOF","11776 OSCEOLA ST","Re-Roof","ATLAS ROOFING","EPRS:200106101454935"
"BLDG20-0062","01/06/2020","RESIDENTIAL BUILDING","MECHANICAL","11343 QUIVAS WAY","Installation of gas line from ...","The Gas Connection","ECON:200106101809967"
"BLDG20-0065","01/06/2020","RESIDENTIAL BUILDING","MECHANICAL","4725 W 69TH AVE","set and vent Napoleon Gas Fire...","FIREPLACE WAREHOUSE LLC","ECON:200106104932281"
"BLDG20-0072","01/06/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","2728 W 107TH CT #C","install replacements","COOPER HEATING & COOLING INC","ECON:200106010021390"
"BLDG20-0074","01/06/2020","RESIDENTIAL INTERIOR","BASEMENT FINISH","11738 QUITMAN ST","Basement Finish with 3/4 bath,...","HAHN PHILIP R AND HAHN JANELLE...","ECON:200106021347006"
"BLDG20-0083","01/06/2020","RESIDENTIAL COUNTER","REROOF","9312 W 92ND AVE","Replace old shingles with new ...","ADVANCED CONSTRUCTION MGT LLC","ECON:200106044919225"
"BLDG20-0084","01/06/2020","RESIDENTIAL COUNTER","SEWER REPAIR","8571 CIRCLE DR","Sewer repair in yard to ROW","PLUMBLINE SERVICES","ECON:200106050107291"
"BLDG19-8740","01/05/2020","RESIDENTIAL COUNTER","WATER HEATER","6969 W 90TH AVE #327","water heater replacement","EURO PLUMBING LLC","ECON:191231122717444"
"BLDG19-8741","01/05/2020","RESIDENTIAL COUNTER","WATER HEATER","6969 W 90TH AVE #113","water heater replacement","EURO PLUMBING LLC","ECON:191231122941481"
"BLDG19-7534","01/04/2020","RESIDENTIAL EXTERIOR","PATIO COVER OR CARPORT","4044 W 77TH PL","Carport demo and rebuild","RESTORATION MANAGEMENT COMPANY","ECON:191024011652409"
"BLDG19-7704","01/03/2020","RESIDENTIAL COUNTER","FURNACE","5941 W 108TH PL","Replacement furnace to be inst...","IMS HEATING & AIR INC","ECON:191101031150434"
"BLDG19-8169","01/03/2020","COMMERCIAL","BUILDING","9300 W 108TH CIR","Ball POC build out of former r...","SWINERTON BUILDERS","ECON:191121030205529"
"BLDG19-8240","01/03/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","1159 W 135TH CT","REPLACE FURNACE, AC","BELL PLUMBING & HEATING","EPRS:191127082321520"
"BLDG19-8525","01/03/2020","RESIDENTIAL COUNTER","REROOF","10311 W 102ND AVE","remove old shingles, installin...","ADVOCATE CONSTRUCTION","ECON:191216095850970"
"BLDG19-8552","01/03/2020","RESIDENTIAL EXTERIOR","FENCE","10082 FLOWER ST","Install 75' of 3' iron & 41' o...","SPLIT RAIL FENCE CO","ECON:191217095537964"
"BLDG19-8644","01/03/2020","RESIDENTIAL COUNTER","WATER HEATER","10221 EATON ST","ONE WATER HEATER REPLACEMENT 4...","PROSPECT PLUMBING LLC","ECON:191223072640806"
"BLDG19-8661","01/03/2020","RESIDENTIAL EXTERIOR","FENCE","9030 W 100TH WAY","Install 36' of cedar privacy a...","SPLIT RAIL FENCE CO","ECON:191223020754276"
"BLDG19-8662","01/03/2020","RESIDENTIAL EXTERIOR","FENCE","9090 W 100TH WAY","Install 87' of cedar privacy &...","SPLIT RAIL FENCE CO","ECON:191223021955417"
"BLDG19-8669","01/03/2020","RESIDENTIAL COUNTER","REROOF","10540 W 102ND AVE","remove old shingles, installin...","ADVOCATE CONSTRUCTION","ECON:191223104137901"
"BLDG19-8688","01/03/2020","RESIDENTIAL COUNTER","WATER HEATER","1159 W 135TH CT","REPLACE 40G 40K BTU WATER HEAT...","NIK LAWHORN","EPRS:191226015614938"
"BLDG19-8709","01/03/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","5450 W 115TH AVE","remove old equip/install 13 se...","IMS HEATING & AIR INC","ECON:191227025146536"
"BLDG19-8730","01/03/2020","RESIDENTIAL COUNTER","FURNACE","9260 TENNYSON ST","install furnace with standard ...","AAA SERVICE PLUMBING INC","ECON:191230013744528"
"BLDG20-0005","01/03/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","4272 W 111TH CIR","Install 80,000 Btu's Furnace, ...","COFFMAN/B & F HEATING & AC INC","ECON:200102103137868"
"BLDG20-0021","01/03/2020","RESIDENTIAL BUILDING","ELECTRICAL","9788 IRVING CT","Sub-panel addition","Richard Turner","EPRS:200102030658434"
"BLDG20-0026","01/03/2020","RESIDENTIAL COUNTER","WATER HEATER","9480 W 89TH CIR BLDG 9","REPLACE WATER HEATER WITH 40 G...","APPLEWOOD PLUMBING HEATING & E...","ECON:200102035407831"
"BLDG20-0027","01/03/2020","RESIDENTIAL COUNTER","WATER HEATER","6221 W 116TH AVE","REPLACE WATER HEATER WITH 40 G...","APPLEWOOD PLUMBING HEATING & E...","ECON:200102035551873"
"BLDG20-0028","01/03/2020","RESIDENTIAL COUNTER","WATER HEATER","1198 W 133RD CT","REPLACE WATER HEATER WITH 40 G...","APPLEWOOD PLUMBING HEATING & E...","ECON:200102035810918"
"BLDG19-7201","01/02/2020","COMMERCIAL","BUILDING","200 W 136TH AVE","Walmart 3867.233 - Remodel","","ECON:191014044413727"
"BLDG19-7900","01/02/2020","COMMERCIAL","MECHANICAL","12250 PECOS ST #400","Fyrewerks - Install New Exhaus...","MTECH MECHANICAL TECHNOLOGIES ...","ECON:191109102252367"
"BLDG19-8356","01/02/2020","COMMERCIAL","TENANT FINISH","1333 W 120TH AVE #210","TF for Unicom Global Demo & fi...","CODA CONSTRUCTION GROUP","ECON:191205041319918"
"BLDG19-8369","01/02/2020","COMMERCIAL SIGN","SIGN","8393 CHURCH RANCH BLVD","New set of LED channel letters...","John B. Heim, Jr.","EPRS:191206041245437"
"BLDG19-8403","01/02/2020","COMMERCIAL","ELECTRICAL","10391 WESTMINSTER BLVD","Mercedes Benz -Install light f...","Carlton Electric, Inc - Fuel o...","ECON:191210100704445"
"BLDG19-8583","01/02/2020","RESIDENTIAL COUNTER","SIDING REPLACEMENT","9313 W 100TH CIR","Replace 4.75 SQ siding with vi...","K & H WINDOWS & EXTERIORS","ECON:191218084730778"
"BLDG19-8590","01/02/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","11246 DEPEW CT","install a 80K 80% Furnace & a ...","BROTHERS PLUMBING HEATING &  E...","ECON:191218111854172"
"BLDG19-8591","01/02/2020","RESIDENTIAL NEW","SINGLE FAMILY DETACHED","9010 W 100TH WAY","NSFD- 2 Story, 9' full unfinis...","TRIPOINTE HOMES-Jesse Rodrigue...","ECON:191218112149237"
"BLDG19-8630","01/02/2020","RESIDENTIAL COUNTER","REROOF","11026 CLAY DR","Re-roof: OC Storm: Driftwood; ...","PEAK TO PEAK ROOFING & EXTERIO...","ECON:191219013728565"
"BLDG19-8675","01/02/2020","RESIDENTIAL COUNTER","FURNACE","11387 OTIS ST","install a 80K 80% Furnace. Lik...","BROTHERS PLUMBING HEATING &  E...","ECON:191226090327157"
"BLDG19-8676","01/02/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","12960 VALLEJO CIR","install a 120K 96% Furnace & a...","BROTHERS PLUMBING HEATING &  E...","ECON:191226090549222"
"BLDG19-8703","01/02/2020","RESIDENTIAL COUNTER","REROOF","9125 W 93RD AVE","Complete re-roof","RED DIAMOND ROOFING","ECON:191227123706407"
"BLDG19-8712","01/02/2020","COMMERCIAL","BUILDING","10170 CHURCH RANCH WAY #200","3 doors to an new Access Contr...","CONVERGINT TECHNOLOGIES LLC","ECON:191227050626026"
"BLDG19-8747","01/02/2020","RESIDENTIAL BUILDING","ELECTRICAL","7881 OSCEOLA ST","Service mast, wiring & sub pan...","TELLER PARK ELECTRIC dba AMERI...","ECON:191231010655583"
"BLDG20-0002","01/02/2020","RESIDENTIAL COUNTER","REROOF","9311 W 90TH DR","Remove & replace roofing with ...","ARTISAN CONSTRUCTION COMPANY I...","ECON:200102082201655"
"BLDG20-0003","01/02/2020","RESIDENTIAL COUNTER","REROOF","9910 HOYT WAY","remove and replace shingles","VISION CONSTRUCTION COMPANY","ECON:200102082402709"
"BLDG20-0004","01/02/2020","RESIDENTIAL BUILDING","ELECTRICAL","11061 GRAY ST","200A Main Service Upgrade","NAMASTE SOLAR ELECTRIC DBA ACC...","ECON:200102094051525"
"BLDG20-0006","01/02/2020","RESIDENTIAL COUNTER","REROOF","11276 XAVIER DR","Remove existing shingles and i...","DARBY ENTERPRISES INC","ECON:200102104132029"
"BLDG20-0008","01/02/2020","RESIDENTIAL COUNTER","REROOF","3581 MOWRY PL","Reroof","BOB BEHRENDS ROOFING","ECON:200102111621416"
"BLDG20-0009","01/02/2020","RESIDENTIAL COUNTER","WATER HEATER","11892 QUITMAN ST","Replace standard 40 gallon wat...","MASTER ROOTER PLUMBING LLC","ECON:200102112005472"
"BLDG20-0010","01/02/2020","RESIDENTIAL COUNTER","SEWER REPAIR","10911 W 106TH AVE","10' SPOT REPAIR IN FRONT YARD ...","TRENCH RIGHT","ECON:200102112408550"
"BLDG20-0014","01/02/2020","RESIDENTIAL COUNTER","WATER HEATER","11517 JAY ST","install replacement","COOPER HEATING & COOLING INC","ECON:200102120921311"
"BLDG20-0015","01/02/2020","RESIDENTIAL COUNTER","FURNACE AND AIR CONDITIONER","1296 W 133RD WAY","install replacements","COOPER HEATING & COOLING INC","ECON:200102121404376"
"BLDG20-0016","01/02/2020","RESIDENTIAL COUNTER","SEWER REPAIR","7311 UTICA ST","Sewer line repair with clean o...","PAYLESS ROOTER","ECON:200102122311431"
"BLDG20-0017","01/02/2020","RESIDENTIAL COUNTER","REROOF","11428 W 104TH DR","replace roof","DENVER ROOFERS LLC","ECON:200102125125630"
"BLDG20-0018","01/02/2020","RESIDENTIAL COUNTER","WATER HEATER","12326 BANNOCK ST #13108","remove and replace 50 gallon w...","MASTER ROOTER PLUMBING LLC","ECON:200102010358705"
"BLDG19-8749","01/01/2020","RESIDENTIAL COUNTER","WATER HEATER","3974 W 118TH PL","Install 12 year 50 gallon Rhee...","TRIUMPH MEHCANICAL INC","ECON:191231043242288"
